taxa,accession,country,year,te
AfricaAGOERR976456T119700101,ERR976456,angola,1970,T1
AfricaAGOERR976457T119700101,ERR976457,angola,1970,T1
AfricaAGOERR1880793T119720101,ERR1880793,angola,1972,T1
AfricaAGOERR976498T119880101,ERR976498,angola,1988,T1
AfricaAGOERR976499T119880101,ERR976499,angola,1988,T1
AfricaAGOERR976500T119880101,ERR976500,angola,1988,T1
AfricaAGOERR976501T119880101,ERR976501,angola,1988,T1
AfricaAGOERR976502T119880101,ERR976502,angola,1988,T1
AfricaAGOERR976503T119880101,ERR976503,angola,1988,T1
AfricaAGOERR025381T119890101,ERR025381,angola,1989,T1
AfricaAGOERR976391T119900101,ERR976391,angola,1990,T1
AfricaAGOERR976396T119900101,ERR976396,angola,1990,T1
AfricaAGOERR976522T119920101,ERR976522,angola,1992,T1
AfricaAGOERR976532T119940101,ERR976532,angola,1994,T1
AfricaAGOERR976533T119940101,ERR976533,angola,1994,T1
AfricaAGOERR998664T119950101,ERR998664,angola,1995,T1
AfricaAGOERR998665T119950101,ERR998665,angola,1995,T1
AfricaAGOERS4937852T1020180101,ERS4937852,angola,2018,T10
AfricaBENERR976459T119700101,ERR976459,benin,1970,T1
AfricaBENERR976460T119700101,ERR976460,benin,1970,T1
AfricaBENERR976483T119850101,ERR976483,benin,1985,T1
AfricaBENERR976513T719910101,ERR976513,benin,1991,T7
AfricaBENERR976514T719910101,ERR976514,benin,1991,T7
AfricaBENERR976515T719910101,ERR976515,benin,1991,T7
AfricaBENERR998749T919970101,ERR998749,benin,1997,T9
AfricaBENERR998750T919970101,ERR998750,benin,1997,T9
AfricaBENERR1877956T920020101,ERR1877956,benin,2002,T9
AfricaBENERR1877957T920020101,ERR1877957,benin,2002,T9
AfricaBENERR1878091T920030101,ERR1878091,benin,2003,T9
AfricaBENERR1878092T920030101,ERR1878092,benin,2003,T9
AfricaBENERR1878109T920040101,ERR1878109,benin,2004,T9
AfricaBENERR1878110T920040101,ERR1878110,benin,2004,T9
AfricaBENERR1878133T920050101,ERR1878133,benin,2005,T9
AfricaBENERR1878134T920050101,ERR1878134,benin,2005,T9
AfricaBENERR1878561T920070101,ERR1878561,benin,2007,T9
AfricaBENERR1878586T920100101,ERR1878586,benin,2010,T9
AfricaBENERR1878587T920100101,ERR1878587,benin,2010,T9
AfricaBFAERR976418T119740101,ERR976418,burkina faso,1974,T1
AfricaBFAERR976419T119740101,ERR976419,burkina faso,1974,T1
AfricaBFAERR976442T119740101,ERR976442,burkina faso,1974,T1
AfricaBFAERR976443T119740101,ERR976443,burkina faso,1974,T1
AfricaBFAERR976479T119840101,ERR976479,burkina faso,1984,T1
AfricaBFAERR976485T119840101,ERR976485,burkina faso,1984,T1
AfricaBFAERR976486T119840101,ERR976486,burkina faso,1984,T1
AfricaBFAERR998671T719950101,ERR998671,burkina faso,1995,T7
AfricaBFAERR998672T719950101,ERR998672,burkina faso,1995,T7
AfricaBFAERR998687T919950101,ERR998687,burkina faso,1995,T9
AfricaBFAERR998688T919950101,ERR998688,burkina faso,1995,T9
AfricaBFAERR976572T919980101,ERR976572,burkina faso,1998,T9
AfricaBFAERR976573T919980101,ERR976573,burkina faso,1998,T9
AfricaBFAERR1879646T919990101,ERR1879646,burkina faso,1999,T9
AfricaBFAERR1877948T920010101,ERR1877948,burkina faso,2001,T9
AfricaBFAERR1877949T920010101,ERR1877949,burkina faso,2001,T9
AfricaBFAERR1878562T920050101,ERR1878562,burkina faso,2005,T9
AfricaBFAERR1878563T920050101,ERR1878563,burkina faso,2005,T9
AfricaBDIERR1877617T519920101,ERR1877617,burundi,1992,T5
AfricaBDIERR1877618T519920101,ERR1877618,burundi,1992,T5
AfricaBDIERR976529T519930101,ERR976529,burundi,1993,T5
AfricaBDIERR976530T519930101,ERR976530,burundi,1993,T5
AfricaBDIERR1879636T519970101,ERR1879636,burundi,1997,T5
AfricaBDIERR1877941T1020010101,ERR1877941,burundi,2001,T10
AfricaBDIERR1877942T1020010101,ERR1877942,burundi,2001,T10
AfricaCMRERR976400T119700101,ERR976400,cameroon,1970,T1
AfricaCMRERR976420T119700101,ERR976420,cameroon,1970,T1
AfricaCMRERR976421T119700101,ERR976421,cameroon,1970,T1
AfricaCMRERR976422T119700101,ERR976422,cameroon,1970,T1
