"","country","year","cases"
"1","angola",1971,1
"2","angola",1972,268
"3","angola",1973,263
"4","angola",1974,934
"5","angola",1975,88
"6","angola",1977,726
"7","angola",1987,16222
"8","angola",1988,15500
"9","angola",1989,17601
"10","angola",1990,9527
"11","angola",1991,8590
"12","angola",1992,3608
"13","angola",1994,3443
"14","angola",1995,3295
"15","angola",1996,1306
"16","angola",2005,0
"17","angola",2006,67257
"18","angola",2007,18422
"19","angola",2008,10511
"20","angola",2009,2019
"21","angola",2010,1484
"22","angola",2011,1810
"23","angola",2012,1215
"24","angola",2013,6655
"25","angola",2014,213
"26","angola",2016,78
"27","angola",2017,828
"28","angola",2018,1546
"29","angola",2021,0
"30","angola",2015,0
"31","angola",2020,0
"32","burundi",1978,8297
"33","burundi",1979,915
"34","burundi",1980,2039
"35","burundi",1981,582
"36","burundi",1982,415
"37","burundi",1983,512
"38","burundi",1984,180
"39","burundi",1985,259
"40","burundi",1990,82
"41","burundi",1991,3
"42","burundi",1992,479
"43","burundi",1993,78
"44","burundi",1994,562
"45","burundi",1995,2297
"46","burundi",1996,418
"47","burundi",1997,1959
"48","burundi",1998,1067
"49","burundi",1999,3440
"50","burundi",2000,1021
"51","burundi",2001,1003
"52","burundi",2002,577
"53","burundi",2003,432
"54","burundi",2004,819
"55","burundi",2005,1309
"56","burundi",2006,886
"57","burundi",2007,365
"58","burundi",2008,234
"59","burundi",2009,355
"60","burundi",2010,333
"61","burundi",2011,1072
"62","burundi",2012,214
"63","burundi",2013,1557
"64","burundi",2014,582
"65","burundi",2015,442
"66","burundi",2016,434
"67","burundi",2017,399
"68","burundi",2018,92
"69","burundi",2019,1145
"70","burundi",2020,277
"71","burundi",2021,11
"72","burundi",2022,25
"73","burundi",2023,1394
"74","benin",1970,175
"75","benin",1971,2133
"76","benin",1972,250
"77","benin",1973,3
"78","benin",1974,73
"79","benin",1975,45
"80","benin",1976,146
"81","benin",1977,2
"82","benin",1978,27
"83","benin",1980,3
"84","benin",1981,2
"85","benin",1982,3
"86","benin",1983,1
"87","benin",1984,1
"88","benin",1986,243
"89","benin",1991,7474
"90","benin",1992,413
"91","benin",1993,10
"92","benin",1994,187
"93","benin",1995,203
"94","benin",1996,6190
"95","benin",1997,796
"96","benin",1998,206
"97","benin",1999,855
"98","benin",2000,468
"99","benin",2001,3943
"100","benin",2002,270
"101","benin",2003,434
"102","benin",2004,642
"103","benin",2005,749
"104","benin",2006,91
"105","benin",2008,985
"106","benin",2009,74
"107","benin",2010,983
"108","benin",2011,755
"109","benin",2012,625
"110","benin",2013,528
"111","benin",2014,832
"112","benin",2016,761
"113","benin",2017,11
"114","benin",2018,0
"115","benin",2019,50
"116","benin",2020,232
"117","benin",2021,1298
"118","benin",2022,433
"119","benin",2023,28
"120","burkina faso",1970,1
"121","burkina faso",1971,1761
"122","burkina faso",1972,1
"123","burkina faso",1973,1118
"124","burkina faso",1974,632
"125","burkina faso",1975,3
"126","burkina faso",1978,1
"127","burkina faso",1984,2191
"128","burkina faso",1985,1149
"129","burkina faso",1991,537
"130","burkina faso",1995,1451
"131","burkina faso",1996,425
"132","burkina faso",1998,1036
"133","burkina faso",1999,93
"134","burkina faso",2000,617
"135","burkina faso",2001,477
"136","burkina faso",2003,1
"137","burkina faso",2005,1050
"138","burkina faso",2006,0
"139","burkina faso",2008,0
"140","burkina faso",2011,20
"141","burkina faso",2012,143
"142","burkina faso",2018,0
"143","burkina faso",2019,0
"144","burkina faso",2021,3
"145","burkina faso",2022,4
"146","burkina faso",2023,0
"147","botswana",2005,0
"148","botswana",2006,0
"149","botswana",2008,8
"150","botswana",2009,15
"151","botswana",2019,0
"152","botswana",2020,0
"153","botswana",2015,0
"154","botswana",2016,0
"155","botswana",2017,0
"156","botswana",2018,0
"157","botswana",2021,0
"158","botswana",2011,0
"159","botswana",2012,0
"160","botswana",2013,0
"161","botswana",2014,0
"162","botswana",2023,0
"163","central african rep.",2018,0
"164","central african rep.",2017,0
"165","central african rep.",2012,21
"166","central african rep.",2011,117
"167","central african rep.",2006,0
"168","central african rep.",2005,0
"169","central african rep.",2004,320
"170","central african rep.",1998,22
"171","central african rep.",1997,443
"172","central african rep.",2021,0
"173","central african rep.",2022,0
"174","central african rep.",2023,0
"175","cote d'ivoire",1970,868
"176","cote d'ivoire",1971,668
"177","cote d'ivoire",1979,3
